Sentence,Sentiment,Category
So there is no way for me to plug it in here in the US unless I go by a converter.,Negative,Technical Issues
"Good case, Excellent value.",Positive,Positive Sentiment
Great for the jawbone.,Positive,Positive Sentiment
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,Negative,Technical Issues
The mic is great.,Positive,Positive Sentiment
I have to jiggle the plug to get it to line up right to get decent volume.,Negative,Technical Issues
"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",Negative,Negative Sentiment
If you are Razr owner...you must have this!,Positive,Positive Sentiment
"Needless to say, I wasted my money.",Negative,Purchase or Value Concerns
What a waste of money and time!.,Negative,Purchase or Value Concerns
And the sound quality is great.,Positive,Positive Sentiment
He was very impressed when going from the original battery to the extended battery.,Positive,Positive Sentiment
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,Negative,Technical Issues
Very good quality though,Positive,Positive Sentiment
"The design is very odd, as the ear ""clip"" is not very comfortable at all.",Negative,Negative Sentiment
Highly recommend for any one who has a blue tooth phone.,Positive,Positive Sentiment
I advise EVERYONE DO NOT BE FOOLED!,Negative,Negative Sentiment
So Far So Good!.,Positive,Positive Sentiment
Works great!.,Positive,Positive Sentiment
It clicks into place in a way that makes you wonder how long that mechanism would last.,Negative,Negative Sentiment
"I went on Motorola's website and followed all directions, but could not get it to pair again.",Negative,Negative Sentiment
I bought this to use with my Kindle Fire and absolutely loved it!,Positive,Positive Sentiment
The commercials are the most misleading.,Negative,Negative Sentiment
I have yet to run this new battery below two bars and that's three days without charging.,Positive,Positive Sentiment
I bought it for my mother and she had a problem with the battery.,Negative,Technical Issues
Great Pocket PC / phone combination.,Positive,Positive Sentiment
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,Positive,Positive Sentiment
I didn't think that the instructions provided were helpful to me.,Negative,Negative Sentiment
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,Negative,Negative Sentiment
Doesn't hold charge.,Negative,Technical Issues
"This is a simple little phone to use, but the breakage is unacceptible.",Negative,Negative Sentiment
This product is ideal for people like me whose ears are very sensitive.,Positive,Positive Sentiment
It is unusable in a moving car at freeway speed.,Negative,Negative Sentiment
I have two more years left in this contract and I hate this phone.,Negative,Negative Sentiment
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,Positive,Positive Sentiment
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,Negative,Technical Issues
It has kept up very well.,Positive,Positive Sentiment
Poor Talk Time Performance.,Negative,Negative Sentiment
The case is great and works fine with the 680.,Positive,Positive Sentiment
worthless product.,Negative,Negative Sentiment
"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",Positive,Positive Sentiment
I was not impressed by this product.,Negative,Negative Sentiment
Nice headset priced right.,Positive,Positive Sentiment
I only hear garbage for audio.,Negative,Negative Sentiment
Excellent bluetooth headset.,Positive,Positive Sentiment
It has all the features I want,Positive,Positive Sentiment
Who in their right mind is gonna buy this battery?.,Negative,Technical Issues
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,Negative,Purchase or Value Concerns
This case seems well made.,Positive,Positive Sentiment
Disappointed with battery.,Negative,Technical Issues
Not loud enough and doesn't turn on like it should.,Negative,Technical Issues
good protection and does not make phone too bulky.,Positive,Positive Sentiment
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,Positive,Positive Sentiment
This phone is pretty sturdy and I've never had any large problems with it.,Positive,Positive Sentiment
I love this thing!,Positive,Positive Sentiment
Everything about it is fine and reasonable for the price i.e.,Positive,Positive Sentiment
VERY DISAPPOINTED.,Negative,Negative Sentiment
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,Positive,Positive Sentiment
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,Positive,Positive Sentiment
The buttons for on and off are bad.,Negative,Negative Sentiment
Essentially you can forget Microsoft's tech support.,Negative,Negative Sentiment
"I really recommend this faceplates since it looks very nice, elegant and cool.",Positive,Positive Sentiment
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,Positive,Positive Sentiment
Buy a different phone - but not this.,Negative,Purchase or Value Concerns
You have to hold the phone at a particular angle for the other party to hear you clearly.,Negative,Negative Sentiment
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,Negative,Negative Sentiment
"A week later after I activated it, it suddenly died.",Negative,Negative Sentiment
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,Positive,Positive Sentiment
Great for iPODs too.,Positive,Positive Sentiment
This device is great in several situations:1.),Positive,Positive Sentiment
Mic Doesn't work.,Negative,Technical Issues
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",Negative,Negative Sentiment
Great choice!,Positive,Positive Sentiment
Nice docking station for home or work.,Positive,Positive Sentiment
This is a beautiful phone.,Positive,Positive Sentiment
Love this product.,Positive,Positive Sentiment
Do Not Buy for D807...wrongly advertised for D807.,Negative,Purchase or Value Concerns
This is a great little item.,Positive,Positive Sentiment
"I love this phone , It is very handy and has a lot of features .",Positive,Positive Sentiment
I purchased this and within 2 days it was no longer working!!!!!!!!!,Negative,Purchase or Value Concerns
I wear it everyday and it holds up very well.,Positive,Positive Sentiment
Not a good bargain.,Negative,Negative Sentiment
"Well packaged, arrived on time, and works as intended.",Positive,Positive Sentiment
The battery runs down quickly.,Negative,Technical Issues
"This item worked great, but it broke after 6 months of use.",Negative,Negative Sentiment
The headsets are easy to use and everyone loves them.,Positive,Positive Sentiment
This phone works great.,Positive,Positive Sentiment
The construction of the headsets is poor.,Negative,Negative Sentiment
Product was excellent and works better than the verizon one and Boy was it cheaper!,Positive,Positive Sentiment
The phone loads super!,Positive,Positive Sentiment
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",Negative,Purchase or Value Concerns
Made very sturdy.,Positive,Positive Sentiment
Worked great!.,Positive,Positive Sentiment
The ear buds only play music in one ear.,Negative,Negative Sentiment
Dont waste your money...,Negative,Purchase or Value Concerns
Will order from them again!,Positive,Positive Sentiment
If you plan to use this in a car forget about it.,Negative,Negative Sentiment
I found this product to be waaay too big.,Negative,Negative Sentiment
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,Positive,Positive Sentiment
I'm very disappointed with my decision.,Negative,Negative Sentiment
Integrated seamlessly with the Motorola RAZR phone.,Positive,Positive Sentiment
"Buyer Beware, you could flush money right down the toilet.",Negative,Purchase or Value Concerns
Definitely a bargain.,Positive,Positive Sentiment
The price was very good and with the free shipping and all it was a good purchase.,Positive,Positive Sentiment
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,Negative,Technical Issues
"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",Positive,Positive Sentiment
"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",Negative,Negative Sentiment
"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",Positive,Positive Sentiment
